"","baseMean","log2FC_shrunken","lfcSE_shrunken","pvalue","padj"
"ENSGALG00010000711",274.224686157267,-0.00592533140955658,0.0866791591403996,0.71906518818404,0.945373585861258
"ENSGALG00010000715",64.2846770569506,-0.0228785608114188,0.0918532071701326,0.0415608117007864,0.597729836974442
"ENSGALG00010000717",2263.86012207938,-0.00861919586761881,0.0832159664808848,0.76770163160727,0.95666319860426
"ENSGALG00010000720",1898.3222232186,0.00055479235987569,0.0803934236985043,0.86321136153286,0.973026219701452
"ENSGALG00010000724",413.890542951698,-0.0188223311314236,0.0871226552658434,0.440462001154942,0.8633281543158
"ENSGALG00010000729",93.5298490562654,-0.0220781560174791,0.091694064874891,0.0294854493846646,0.546162582688801
"ENSGALG00010000757",8.98400706228557,-0.0087774497988276,0.0882951351390404,0.301241082698627,NA
"ENSGALG00010000777",6982.75309039331,0.02568584342329,0.0784759139928662,0.514905609844777,0.892657584864541
"ENSGALG00010000784",498.22518024651,-0.0380532896137761,0.0962707022276285,0.125417950406261,0.733198069907734
"ENSGALG00010000785",376.958739478177,0.0292676505824833,0.088665629208005,0.331741023478654,0.831322376391381
"ENSGALG00010000788",575.196684017182,-0.0201657972836044,0.0836417508182162,0.533106626907707,0.896481955105889
"ENSGALG00010000791",13.1294255595071,-0.0205364345240922,0.0909818690355913,0.0608081361127024,0.650453577833537
"ENSGALG00010000795",163.263993999437,-0.0167827718535247,0.08769602055829,0.422228784090098,0.86122756606851
"ENSGALG00010000796",101.548008866521,-0.0773079504618279,0.137958370856875,0.0163614007968256,0.47658264058752
"ENSGALG00010000800",3215.97814882825,0.0608685156037265,0.112339198811964,0.0635074577588694,0.651635892658612
"ENSGALG00010000810",396.054837217217,-0.0206509764313798,0.0874171510081755,0.408884788041699,0.856159216981545
"ENSGALG00010000812",455.380905322421,0.00289061182747619,0.0844587321234421,0.901049461164109,0.980604790238936
"ENSGALG00010000816",1156.65745753529,-0.0194812999266686,0.0855532026950309,0.497718544980303,0.887569760246444
"ENSGALG00010000818",570.893779862665,0.00296242388110859,0.0829943544861938,0.917381392763897,0.984103992030185
"ENSGALG00010000820",201.384435824252,-0.0135961488353542,0.088558611585098,0.309949397188879,0.821109054289425
"ENSGALG00010000823",228.365042412378,-0.0101262123035079,0.0860503260154811,0.63479837050986,0.926785893662599
"ENSGALG00010000843",293.992666870368,0.00182655531590761,0.0816940462396063,0.951692226611774,0.991607953261046
"ENSGALG00010000859",159.262850982035,0.0188011628159159,0.0885864207541509,0.343793412686013,0.836618938912517
"ENSGALG00010000864",176.900208225086,-0.0340119662796807,0.0946566644438442,0.130134309446759,0.737114085782806
"ENSGALG00010000870",46.2150998004746,-0.0100626440953017,0.0874084782660268,0.523578884965514,0.894019501289154
"ENSGALG00010000901",100.42992032326,-0.0194725701813036,0.0906027742490415,0.0798582762607604,0.676448584717244
"ENSGALG00010001033",6.22969222210943,0.00191288263087779,0.087902381622991,0.739989171790988,NA
"ENSGALG00010001057",53.0445840179892,-0.00042765421321109,0.0858605132232731,0.985912724032382,0.998124915410265
"ENSGALG00010001058",15.2367299200075,0.000566199164015204,0.0874029449777007,0.960587099743635,0.994138138901407
"ENSGALG00010001059",359.587396351444,0.0161093020497725,0.0859311963062036,0.533398258244096,0.896481955105889
"ENSGALG00010001065",45.9958683172817,0.00879632860290686,0.0882919116432805,0.309208400899617,0.821109054289425
"ENSGALG00010001069",25.9048048293581,0.00769329205916382,0.0882903769729893,0.268933471710602,0.802303566705976
"ENSGALG00010001075",13.1809373978552,-0.011021494361474,0.0886855742975235,0.190759413668518,0.772189455186617
"ENSGALG00010001194",191.75297438908,-0.02515574378947,0.0906159846776367,0.230009626445328,0.788862028265599
"ENSGALG00010001196",14.2519723945616,-0.00488511102517707,0.0878938977484665,0.532839019880649,0.896481955105889
"ENSGALG00010001198",1414.42414746625,0.038473185786926,0.0960687060290677,0.139821335575326,0.74741144705828
"ENSGALG00010001200",897.03241777757,-0.0111004006979606,0.0885944079944952,0.23798934222232,0.789922384521385
"ENSGALG00010001202",17.8660212914162,-0.00691646905996213,0.0882154205742087,0.295918146363222,0.813209388187058
"ENSGALG00010001208",11.8625533270357,-0.00856125259121344,0.0880384608847042,0.413320046486736,NA
"ENSGALG00010001210",16.0049715702919,-0.0222239211026142,0.0911751942197823,0.101158011100823,0.70392554605871
"ENSGALG00010001214",225.315424305599,-0.0495329623594048,0.104686288111125,0.0615155285517967,0.650453577833537
"ENSGALG00010001219",145.718076909746,0.00508258584500384,0.0873261905723838,0.692251591973175,0.938343004019409
"ENSGALG00010001220",1550.04773362862,-0.0423606899570855,0.0959546787957754,0.166876883109685,0.763075038622699
"ENSGALG00010001222",82.133331222039,-0.0231620213453102,0.0909495844615925,0.162486566536699,0.763075038622699
"ENSGALG00010001223",7.6681737118796,-0.00538404726263648,0.0881086704162145,0.356923673776376,NA
"ENSGALG00010001224",633.287029796804,-0.0220428968376476,0.088089718520971,0.369322132361007,0.843430053693743
"ENSGALG00010001228",254.464172656824,-0.035392397502535,0.089172414423977,0.301640798450556,0.81560045653813
"ENSGALG00010001232",194.61465580709,-0.0173140529010918,0.0884524974800649,0.348448215028371,0.83685284356142
"ENSGALG00010001234",237.44602764268,-0.0438943089630982,0.103059187494408,0.017848998444522,0.486922629572502
"ENSGALG00010001248",187.728482344241,-0.00762366368932875,0.0884351911010427,0.115490735581705,0.719611078614867
"ENSGALG00010001251",92.8356128724929,-0.000631876041421235,0.0853477181873057,0.965442081391465,0.99515110737787
"ENSGALG00010001264",1118.93348299021,-0.00389104524269866,0.086952362864235,0.747819303498128,0.953371598597198
"ENSGALG00010001281",22.0408283303329,-0.00883651818513757,0.0886369856050023,NA,NA
"ENSGALG00010001298",674.031332261422,-0.0289665457119461,0.0874196709039662,0.36614045722447,0.842115776557802
"ENSGALG00010001320",1060.96445327902,0.0184142813828364,0.0866006496843129,0.45197018536786,0.868383599492023
"ENSGALG00010001349",417.969558683922,-0.0381361659311765,0.0952471245519861,0.162595475640795,0.763075038622699
"ENSGALG00010001367",62.8003381731232,0.00938784941805958,0.0861374853146744,0.652517765208417,0.93113519706698
"ENSGALG00010001381",1960.17741509706,-0.0344718017592511,0.0924417914592509,0.220354647425499,0.784907463440995
"ENSGALG00010001407",676.089332414508,-0.0393838565494304,0.0986767796261554,0.061749575943168,0.650453577833537
"ENSGALG00010001419",27.6289734158104,-0.0155724591843981,0.0898588303935192,0.0331951180557368,0.567445615799387
"ENSGALG00010001443",428.421156776512,-0.00250399292677537,0.0826001235367191,0.931675891645733,0.987067730811577
"ENSGALG00010001448",29.0346871269576,-0.0128898613721522,0.0892107493076929,0.0695932817497387,0.660095398071191
"ENSGALG00010001454",316.679696350385,-0.00445576285376753,0.0880511338268486,0.411914176637775,0.857410817421374
"ENSGALG00010001456",31.0015218207603,0.0454790145463444,0.104420362096704,0.0135844196183177,0.461270650859843
"ENSGALG00010001461",468.454167649668,0.0177894800735908,0.0896277603344898,0.197999284373266,0.774008892212
"ENSGALG00010001466",430.826780413965,-0.0363696798828468,0.0973739876498884,0.0522310801208603,0.634099108819557
"ENSGALG00010001468",469.370988905013,-0.0116366812178769,0.0887389349872421,0.198777206752854,0.774008892212
